article_id,article_publish_date,title,topic_desc,country_desc
715080,02/07/2018,Dissent On The Standard Of Review: The SCC Splits On True Questions Of Jurisdiction,"Litigation, Mediation & Arbitration",Canada
714728,02/07/2018,Release Of The Cannabis Regulations,"Food, Drugs, Healthcare, Life Sciences",Canada
714840,02/07/2018,CSA Releases Derivatives Business Conduct Rule For Further Comment,Finance and Banking,Canada
714930,02/07/2018,Summer Safety Part 2: Children And Trampolines,"Litigation, Mediation & Arbitration",Canada
714932,02/07/2018,"Concussions, CTE And The World Of Sports","Litigation, Mediation & Arbitration",Canada
714934,02/07/2018,#Torontostrong: A Community Attacked Comes Together,"Litigation, Mediation & Arbitration",Canada
714336,02/07/2018,"Solidary Responsibility When There Are Several Defendants, Faults, And Injuries: Playing Short-Handed?","Litigation, Mediation & Arbitration",Canada
714340,02/07/2018,Significant Changes Proposed To Canada&#39;s AML/ATF Regime,Finance and Banking,Canada
715010,02/07/2018,Cannabis Act Regulations Revealed,"Food, Drugs, Healthcare, Life Sciences",Canada
715020,02/07/2018,The Date Is Set: This November Canada Implements The Hague Agreement And Rolls Out A Modernized Industrial Design Regime,Intellectual Property,Canada
715038,02/07/2018,Proposed National Instrument 93-101 Derivatives: Business Conduct,Corporate/Commercial Law,Canada
715444,02/07/2018,Proposed New Regulations For Hospital Reporting Of Serious Adverse Drug Reactions And Medical Device Incidents,"Food, Drugs, Healthcare, Life Sciences",Canada
715048,03/07/2018,A Quick Reminder On Statutory Holiday Pay Under The Employment Standards Act,Employment and HR,Canada
715510,03/07/2018,Do you need to comply with the EU General Data Protection Regulation (GDPR)?,Privacy,Australia
715508,03/07/2018,Musings on 2018 Federal Budget,"Government, Public Sector",Australia
715512,03/07/2018,Colour trade marks,Intellectual Property,Australia
715514,03/07/2018,BEPS MLI Measure in the Australian Parliament,Tax,Australia
715522,03/07/2018,The #MeToo momentum: AHRC launches national inquiry into sexual harassment in Australia,Employment and HR,Australia
715532,03/07/2018,ATO set to audit more Australians receiving income into foreign bank accounts,Tax,Australia
715564,03/07/2018,Amnesty for employers – Superannuation guarantee update,Employment and HR,Australia
715144,03/07/2018,Alberta: New Pension Rights For Common-law Spouses,Employment and HR,Canada
714506,03/07/2018,"Jump, Jump – Just Not Off Concrete Walls!","Litigation, Mediation & Arbitration",Canada
714530,03/07/2018,Cannabis Legalized With Strict Advertising And Packaging Rules,"Food, Drugs, Healthcare, Life Sciences",Canada
714548,03/07/2018,Partial Settlements And Other Litigation Agreements In Multi-Party Actions: The Peril Of Non-Disclosure,Corporate/Commercial Law,Canada
714620,03/07/2018,Another Reminder To Plead The Materials Facts Of Patent Infringement: Canadian National Railway Co V BNSF Railway Co,Intellectual Property,Canada
715616,03/07/2018,Health Canada Publishes Guidance Documents That Address Reporting Of Adverse Reactions,"Food, Drugs, Healthcare, Life Sciences",Canada
715764,03/07/2018,Health Information Breach Notification Obligations Under Alberta&#39;s Health Information Act,Privacy,Canada
714664,03/07/2018,Trademarks And Trade Wars – Developing An International Trademark Strategy,Intellectual Property,Canada
715826,03/07/2018,A Forward Look Into Emerging Technologies In M&A,Corporate/Commercial Law,Canada
715840,03/07/2018,Cannabis In The Workplace And Employer Rights,Employment and HR,Canada
715844,03/07/2018,Court Of Appeal Smokes Rescission Finding In Grow-Op Case,Real Estate and Construction,Canada
714796,04/07/2018,Cannabis Legislation Coming Into Force October 2018 – Practical And Operational Considerations,"Food, Drugs, Healthcare, Life Sciences",Canada
715470,02/07/2018,The Terms Of Fair Settlement: Pierringer Agreements And The Benefits Of Settlement In Multi-Party Litigation,"Litigation, Mediation & Arbitration",Canada
715880,04/07/2018,Can you copy someone elses building plans? Which case won?,Intellectual Property,Australia
715872,04/07/2018,New financial year employment law update,Employment and HR,Australia
715874,04/07/2018,Alcohol consumption at work and an employers duty of care,Employment and HR,Australia
713810,04/07/2018,Construction Act - Here We Go!,Real Estate and Construction,Canada
714786,04/07/2018,Supreme Court Of Canada Clarifies The Scope Of Existing Duties Of Care,"Litigation, Mediation & Arbitration",Canada
714820,04/07/2018,Rejection Of Reasonable Investigation Defence In Securities Class Action Stands: Supreme Court Denies Leave To Appeal,Corporate/Commercial Law,Canada
714824,04/07/2018,Off-Duty Drunk Driving Not Just Cause For Termination – Even For A Firefighter,Employment and HR,Canada
714834,04/07/2018,Standard Release Language May Not Protect Against Sexual Harassment Allegations,Employment and HR,Canada
714852,04/07/2018,Cannabis Legalization: The New Frontier,"Food, Drugs, Healthcare, Life Sciences",Canada
714918,04/07/2018,"Cannabis Act In Force October 17, 2018","Food, Drugs, Healthcare, Life Sciences",Canada
714896,04/07/2018,Early Lessons Emerging From The Inquest Into The Deaths At Dreamworld,"Litigation, Mediation & Arbitration",Australia
714966,04/07/2018,Summary Judgment Motions: Watch Your Step,"Litigation, Mediation & Arbitration",Canada
714980,04/07/2018,Toronto Stock Exchange Proposes To Amend Public Company Acquisition Buy-Side Security Holder Approval Requirement,Corporate/Commercial Law,Canada
715002,04/07/2018,Education Fair Dealing Update: All Eyes On York As Copibec And Université Laval Reach Tentative Settlement,Intellectual Property,Canada
715022,04/07/2018,"Passing Off A Trademark: A Discussion Of Common Law, Statutory Codification, And Civil Law",Intellectual Property,Canada
715032,04/07/2018,Secrets Between Children And Parents,Privacy,Canada
715046,04/07/2018,Is An ICO Right For Your Company?,Corporate/Commercial Law,Canada
715092,04/07/2018,Can Your Right Of First Refusal Be Easily Circumvented?,Corporate/Commercial Law,Canada
715908,04/07/2018,Health Information Breach Notification Obligations Under Alberta&#39;s Health Information Act,Privacy,Canada
716164,04/07/2018,"Canadian Law On Unwitting Investments In ""Ponzi"" Schemes In Question","Litigation, Mediation & Arbitration",Canada
716172,04/07/2018,When Should I Seek Employment Law Advice?,Employment and HR,Canada
715070,02/07/2018,The Scope For Governance: The Broad Immunity For Core Policy Decisions From Civil Action,"Litigation, Mediation & Arbitration",Canada
715074,02/07/2018,Highwood Congregation Of Jehovah&#39;s Witnesses (Judicial Committee) v Wall,"Litigation, Mediation & Arbitration",Canada
716236,05/07/2018,"When it comes to workers compensation, when is a travelling expense not a travelling expense? The battle of the clauses",Employment and HR,Australia
716584,05/07/2018,Anticipatory Repudiation in Real Estate Deals: Can You Terminate If the Other Party Will Breach of the Agreement of Purchase and Sale?,Real Estate and Construction,Canada
716224,05/07/2018,Data breaches and privacy issues on the rise,Privacy,Australia
716226,05/07/2018,Your call: Do call and put options trigger a right of first refusal?,Corporate/Commercial Law,Australia
716228,05/07/2018,Fees for WA planning applications that are heard by DAPS have changed,Real Estate and Construction,Australia
716230,05/07/2018,The Australian Government has announced an amnesty on the superannuation guarantee (SG),Employment and HR,Australia
716234,05/07/2018,Challenging the gender pay gap,Employment and HR,Australia
716238,05/07/2018,NSW Modern Slavery Act and Commonwealth Slavery Bill: How will organisations be affected by the reporting requirements?,"Government, Public Sector",Australia
715632,05/07/2018,Duty To Consult In Prince Edward Island (Epekwitk),"Government, Public Sector",Canada
714924,02/07/2018,"Cannabis Act In Force October 17, 2018: Preparing Your Workplace",Employment and HR,Canada
716586,05/07/2018,Ontario&#39;s New Cabinet Revealed,"Government, Public Sector",Canada
716522,05/07/2018,Brenda&#39;s Corner: Future Independence With Powered Mobility,"Food, Drugs, Healthcare, Life Sciences",Canada
716476,05/07/2018,HRTO Finds Exemptions In Human Rights Code Unconstitutional,Employment and HR,Canada
715170,05/07/2018,"The Evolving Duty To Consult Indigenous Peoples: N.S. Court Recognizes A ""Duty Of Enforcement Consultation"" In R. v. Martin","Government, Public Sector",Canada
715140,05/07/2018,Consuming Medical Marijuana At Work Can Get One Fired,"Food, Drugs, Healthcare, Life Sciences",Canada
715142,05/07/2018,Workplace Harassment Investigations: What Employers Need To Know,Employment and HR,Canada
715154,05/07/2018,Termination For Failure To Comply With Attendance Policy Not Discriminatory,Employment and HR,Canada
714908,02/07/2018,WSIB Rate Framework Policies Finalized,Employment and HR,Canada
715258,05/07/2018,Virtual Currency And Canada&#39;s Anti-Money Laundering Framework,Finance and Banking,Canada
715260,05/07/2018,Proposed Inclusion Of Prepaid Cards In Canada&#39;s Anti-Money Laundering Regime,Finance and Banking,Canada
714914,02/07/2018,Introducing HR HealthCheck – Nurses And Presumptive PTSD Entitlement,"Food, Drugs, Healthcare, Life Sciences",Canada
714906,02/07/2018,"Must Exercise Termination Rights Under Independent Contractor Agreement In Good Faith, Appeal Court Rules",Employment and HR,Canada
714892,04/07/2018,Cannabis Act Regulations Now Available,"Food, Drugs, Healthcare, Life Sciences",Canada
714898,04/07/2018,"Appeal Court Rules On Termination Clauses And Proper ""Failsafe"" Language",Employment and HR,Canada
715352,05/07/2018,The PageUp Data Breach,Privacy,Australia
715356,05/07/2018,The EU General Data Protection Regulation And What It Means For Australian Business,Privacy,Australia
715362,05/07/2018,Regulatory Developments In Australia&#39;s Banking Industry,Corporate/Commercial Law,Australia
715264,05/07/2018,Overview Of Other Notable Amendments To Canada&#39;s Anti-Money Laundering Regime,Finance and Banking,Canada
716262,05/07/2018,Construction & Infrastructure News - 4 July 2018,Real Estate and Construction,Australia
716266,05/07/2018,Healthcare News – 4 July 2018,"Food, Drugs, Healthcare, Life Sciences",Australia
716276,05/07/2018,Court orders Rebel Wilson to repay Bauer $4.1 million,"Litigation, Mediation & Arbitration",Australia
716272,05/07/2018,"Superannuation, Funds Management & Financial Services News – 4 July 2018",Finance and Banking,Australia
716280,05/07/2018,Hidden in plain sight: What Modern Slavery Reporting Requirements will mean for your business: Part 2,"Government, Public Sector",Australia
716290,05/07/2018,Workplace Relations Monthly Update - June 2018,Employment and HR,Australia
716298,05/07/2018,Valuer and retail leases update – Supplementary reports by valuers,Real Estate and Construction,Australia
715650,06/07/2018,Complainant Allowed To Participate In Wrongful Dismissal Claim Of Her Alleged Harasser,Employment and HR,Canada
716200,06/07/2018,OSFI Confirms Higher Capital For Domestic Systemically Important Banks,Finance and Banking,Canada
716270,06/07/2018,Purchasers of new residential premises must now remit GST on behalf of developer,Real Estate and Construction,Australia
716892,06/07/2018,Scope Of Personal Information Disclosable To Job Applicants Broadened,Employment and HR,Canada
716922,06/07/2018,Consequential Consequences: Contractually Excluding Damages For Lost Profits,Real Estate and Construction,Canada
716642,06/07/2018,Changes and impacts of new Australian whistleblowing legislation,Employment and HR,Australia
716646,06/07/2018,NSW passes on native title compensation,"Government, Public Sector",Australia
716648,06/07/2018,Property & Real Estate News – 4 July 2018,Real Estate and Construction,Australia
716652,06/07/2018,Residential Focus – 4 July 2018: Part 1 - Home building disputes in NSW,Real Estate and Construction,Australia
716654,06/07/2018,Residential Focus – 4 July 2018: Part 2,Real Estate and Construction,Australia
716660,06/07/2018,Holding Redlich expert guide to the new financial year 2018/2019 - Corporate & Commercial,Corporate/Commercial Law,Australia
716674,06/07/2018,Holding Redlich expert guide to the new financial year 2018/2019 - Workplace Relations & Safety,Employment and HR,Australia
716670,06/07/2018,Holding Redlich expert guide to the new financial year 2018/2019 - Property & Real Estate,Real Estate and Construction,Australia
716678,06/07/2018,Repudiation reminder: Terminating a lease on the basis of repudiation,Real Estate and Construction,Australia
716684,06/07/2018,Workcover WA Arbitrator decision - Preference of one medical opinion over another,Employment and HR,Australia
716686,06/07/2018,"Superannuation and the age pension, where injury causes reduced life expectancy - compensable loss?",Employment and HR,Australia
716736,06/07/2018,Yet another man behaving badly - sending inappropriate emails and text messages,Employment and HR,Australia
716728,06/07/2018,What constitutes reasonable restriction when examining restraint clauses in employment contracts?,Employment and HR,Australia
716212,06/07/2018,New Rules For Mandatory Privacy Breach Notification In Canada: What Organizations Need To Know,Privacy,Canada
716924,06/07/2018,A rose by any other name: A refresher – franchisee licences could be retail leases,Corporate/Commercial Law,Australia
716038,06/07/2018,Canadian/U.S. Cross-Border Lending: Issues To Consider To Avoid Potential Costs & Delays,Finance and Banking,Canada
716006,06/07/2018,Good News For Employers As Court Of Appeal Chastises Lower Court For Finding Ambiguity In Termination Clause Where None Existed,Employment and HR,Canada
715136,06/07/2018,Failing A Breathalyzer Test In A Company Vehicle: Just Cause For Dismissal?,Employment and HR,Canada
715134,06/07/2018,"Clarifying The ""Trilogy"" And The Covenant To Insure: Royal Host GP Inc. v. 1842259 Ontario Ltd.",Real Estate and Construction,Canada
716628,06/07/2018,Valuing A Franchise System,Corporate/Commercial Law,Canada
715462,06/07/2018,Federal Cannabis Act Passes Third Reading In Senate,"Food, Drugs, Healthcare, Life Sciences",Canada
716624,06/07/2018,Will Canada Soon Be A Global Leader In The Cannabis Space?,Corporate/Commercial Law,Canada
715358,06/07/2018,Australia Introduces National Redress Scheme For Institutional Child Sexual Abuse,"Litigation, Mediation & Arbitration",Australia
715492,06/07/2018,Case Comment On Mcallister v. Calgary,"Litigation, Mediation & Arbitration",Canada
716712,06/07/2018,"Canadian Securities Regulators Publish Revamped ""Client Focused"" Registrant Reform Proposals And Signal Policy Direction On Mutual Fund Embedded Compensation",Corporate/Commercial Law,Canada
716848,06/07/2018,Ontario Court Confirms Intensive Care Of A Brain Dead Patient Can Be Discontinued Despite Family&#39;s Objections,"Food, Drugs, Healthcare, Life Sciences",Canada
715524,06/07/2018,Employee Of Independent Contractor? Recent Trends In The Classification Of Workers,Employment and HR,Canada
715540,06/07/2018,Québec Superior Court Interprets Exclusivity Clause In Shopping Mall Lease Narrowly Against Franchisor,Corporate/Commercial Law,Canada
715606,06/07/2018,OPC Launches Investigation Of Social Media Company,Privacy,Canada
715614,06/07/2018,OPC Issues New Guidance On Consent,Privacy,Canada
715736,06/07/2018,New GST/HST Rules For Carbon Emission Allowances,Tax,Canada
715688,06/07/2018,Missing Pension Plan Members And Unclaimed Balances,Employment and HR,Canada
715694,06/07/2018,Canada Day And The Holidays Act,Employment and HR,Canada
715770,06/07/2018,Perception Of Retaliation Does Not Breach The Human Rights Code,Real Estate and Construction,Canada
715804,06/07/2018,Why Is Litigation Funding So Appealing To IP Litigants?,Intellectual Property,Canada
715782,06/07/2018,Security For Judgment In Alberta,"Litigation, Mediation & Arbitration",Canada
716934,06/07/2018,New work health and safety laws in Western Australia – A step closer,Employment and HR,Australia
717100,07/07/2018,The AirBnB reform package – How will it affect you?,Real Estate and Construction,Australia
717110,07/07/2018,Non-payment of superannuation entitlements - a window of opportunity,Employment and HR,Australia
717092,07/07/2018,State Administrative Tribunal (SAT) determines validity of developer contribution,Real Estate and Construction,Australia
717094,07/07/2018,"Guarantors: Enforcing guarantees is not guaranteed: Take it slow, consider your options",Finance and Banking,Australia
717096,07/07/2018,New costs item for section 92(f) agreements in Western Australia: Contentious business indeed,Employment and HR,Australia
717098,07/07/2018,Amendments to the Workers Compensation Act WA relating to dependants of deceased workers,Employment and HR,Australia
715476,02/07/2018,Sweet Justice For IP Rights Holder: Agreement Not In Restraint Of Trade,"Litigation, Mediation & Arbitration",Canada
716050,09/07/2018,Consultation & Aboriginal Title – Important Lessons In Mi&#39;kmaq Of Pei v Province Of Pei Et Al.,"Government, Public Sector",Canada
716156,09/07/2018,Canadian Regulators Issue Revised Derivatives Dealer And Adviser Business Conduct Rule Proposal,Finance and Banking,Canada
716812,09/07/2018,Highlights Of The New Cannabis Regulations Enacted Under The Cannabis Act,"Food, Drugs, Healthcare, Life Sciences",Canada
716818,09/07/2018,City Of Toronto Partners With WeWork To Provide International Workspaces To Entrepreneurs,Corporate/Commercial Law,Canada
717282,09/07/2018,The AHRC and criminal record discrimination: A toothless tiger,Employment and HR,Australia
715536,09/07/2018,Out With The New: Important Changes To Public Holiday Pay,Employment and HR,Canada
717290,09/07/2018,ATO set to decrypt the tax treatment of cryptocurrency in increased audit activity,Tax,Australia
716978,09/07/2018,Intertrust Expands Into Australia,Corporate/Commercial Law,Australia
717302,09/07/2018,Protecting - Made in Australia – changes to food label requirements now mandatory,"Food, Drugs, Healthcare, Life Sciences",Australia
715954,09/07/2018,New EU General Data Protection Regulation Promises Marked Impact On Canadian Business,Privacy,Canada
715978,09/07/2018,Proposed Class Action Against Uber Stayed: The Court Enforces The Parties&#39; Agreement To Arbitrate,"Litigation, Mediation & Arbitration",Canada
716044,09/07/2018,IP Protection For Cannabis In Canada,Intellectual Property,Canada
716104,09/07/2018,Managing Adjusted Aggregate Investment Income,Corporate/Commercial Law,Canada
716118,09/07/2018,Cannabis Legalization And Farm Safety Considerations,Employment and HR,Canada
716128,09/07/2018,The Federal Community Employment Benefits Initiative: Building Diversity Project-By-Project,Employment and HR,Canada
716616,09/07/2018,Breaking Down Barriers – Digital End-To-End Solutions (Video),Finance and Banking,Australia
716562,09/07/2018,Supplier Beware: Appropriate Payments At Your Own Risk,Real Estate and Construction,Canada
717506,09/07/2018,Summer Safety Part 4: The Importance of Car Seat Safety,"Litigation, Mediation & Arbitration",Canada
717540,09/07/2018,Class Action Lawsuit Filed Against Etobicoke Fertility Clinic,"Litigation, Mediation & Arbitration",Canada
717460,09/07/2018,Nip & Tuck: BC Becomes A Model Law Jurisdiction For International Commercial Arbitration,"Litigation, Mediation & Arbitration",Canada
717564,09/07/2018,Federal Court Sets Aside B-Side Trademark For Beau&#39;s Beer,Intellectual Property,Canada
716986,09/07/2018,Introducing The Smell Test: Disciplining An Employee For Body Odour,Employment and HR,Canada
715854,03/07/2018,"Ontario Targets Wage Gap Between Men And Women With New Pay Transparency Act, 2018",Employment and HR,Canada
716612,05/07/2018,Human Rights Tribunal Of Ontario: No Absolute Right To Smoke Marijuana At Work,Employment and HR,Canada
715474,02/07/2018,Privacy And Social Media – Not Just A Numbers Game,"Litigation, Mediation & Arbitration",Canada
715472,02/07/2018,"Foreign Discovery In Advance Of Certification In A Class Action? Not So Fast, Says Divisional Court","Litigation, Mediation & Arbitration",Canada
715468,02/07/2018,Human Rights Tribunal Of Ontario Decision On Post Age 65 Benefits Raises Important Issues,Employment and HR,Canada
715454,02/07/2018,"New Restrictions On Criminal Record Checks To Take Effect On November 1, 2018",Employment and HR,Canada
715078,02/07/2018,A Tale Of Two Forums: Consumer Class Actions And The CRTC In Telecommunications Cases,"Litigation, Mediation & Arbitration",Canada
717670,10/07/2018,The 1 July 2018 workplace changes that might impact your business,Employment and HR,Australia
717684,10/07/2018,Personal Injury Law Update: NSW workers compensation and motor accidents compensation law 2018,"Litigation, Mediation & Arbitration",Australia
716968,10/07/2018,Court Of Appeal Summaries (June 25 – 29),"Litigation, Mediation & Arbitration",Canada
717074,10/07/2018,CSA Offers Tips For Token Offerings: Direction Or Deterrence?,Corporate/Commercial Law,Canada
717698,10/07/2018,"Coming Into Force Date Of New Smoke-Free Ontario Act, 2017 Postponed",Employment and HR,Canada
717168,10/07/2018,"Whitney Abrams Posts ""Health Canada Releases Its Regulations To Support Coming Into Force Of The Cannabis Act"" On Canada Cannabis Legal","Food, Drugs, Healthcare, Life Sciences",Canada
717810,10/07/2018,N.S. Appeal Court Puts A Lid On Medical Pot: No Health Plan Coverage & No Workers Compensation Benefits In Canadian Elevator Industry Welfare Trust Fund v. Skinner & Skinner v. Nova Scotia (Workers&#39; Compensation Appeals Tribunal),Employment and HR,Canada
717364,10/07/2018,The Importance Of Inviting The Proper Guests To The Party,"Litigation, Mediation & Arbitration",Canada
717360,10/07/2018,Could the Creations of Artificial Intelligence be Entitled to Intellectual Property Protection?,Intellectual Property,Canada
717368,10/07/2018,What&#39;s New In The Regulatory World Of Food: Enhancing Openness And Transparency At The Canadian Food Inspection Agency (CFIA),"Food, Drugs, Healthcare, Life Sciences",Canada
717568,10/07/2018,Ontario Court Finds Non-Solicitation Clause Valid Based On Unique Dealer Structure,Employment and HR,Canada
717772,10/07/2018,Federal Court of Australia Grants First Interlocutory Injunction Against Biosimilar,Intellectual Property,Australia
716560,10/07/2018,Are You Ready? Navigating Medical And Recreational Cannabis In The Workplace,Employment and HR,Canada
716516,10/07/2018,Adoption And Coming Into Force Of The Act To Amend The Act Respecting Labour Standards,Employment and HR,Canada
716514,10/07/2018,"Employer Obligations Under The New Smoke-Free Ontario Act, 2017","Food, Drugs, Healthcare, Life Sciences",Canada
717606,10/07/2018,"Out Of Time: The Court Of Appeal Discusses When A Claim Is ""Discovered"" Within The Meaning Of The Limitations Act, 2002","Litigation, Mediation & Arbitration",Canada
717632,10/07/2018,Brain Death Is Death: Ontario Court Provides Important Clarification On Definition Of Death,"Food, Drugs, Healthcare, Life Sciences",Canada
717688,10/07/2018,Upcoming Changes To The Construction Lien Act,Real Estate and Construction,Canada
717760,10/07/2018,Court Has No Say In Religious Congregation&#39;s Internal Decisions,"Litigation, Mediation & Arbitration",Canada
717942,11/07/2018,Knock-knock. WHOIS there? WHO knows! – Domain name dramas in the aftermath of the GDPR,Privacy,Australia
718208,11/07/2018,Trinity Western Decision,"Government, Public Sector",Canada
717946,11/07/2018,#Timesup on inappropriate workplace behaviours,Employment and HR,Australia
717766,11/07/2018,Ontario Premier Doug Ford And Cabinet Sworn-In,"Government, Public Sector",Canada
717950,11/07/2018,Changes to important employment-related financial thresholds 2018,Employment and HR,Australia
718044,11/07/2018,Corrs High Vis: Episode 28 – FIDIC and the Rainbow Suite of construction contracts,Real Estate and Construction,Australia
718028,11/07/2018,Sexually harassed at work! What should Mary do?,Employment and HR,Australia
717872,11/07/2018,"Distracted By Cell Phones, Forklift Operators Were Guilty Of OHSA Offence",Employment and HR,Canada
717986,11/07/2018,Good government – keep up with your admin (law),"Government, Public Sector",Australia
717892,11/07/2018,Class Actions And Summary Judgment,"Litigation, Mediation & Arbitration",Canada
717890,11/07/2018,NextEra Energy Partners Completes $1.63 Billion Sale To CPPIB,Corporate/Commercial Law,Canada
717900,11/07/2018,Can You Settle A Securities Enforcement Proceeding In Alberta Without Admitting Misconduct?,Corporate/Commercial Law,Canada
717902,11/07/2018,Remembering John Mountain: Friend To Many In The Charity And NFP Sector,Corporate/Commercial Law,Canada
717920,11/07/2018,Changes To Construction Law In Ontario,Real Estate and Construction,Canada
718026,11/07/2018,Legislated Drug Testing In The Workplace,Employment and HR,Canada
718024,11/07/2018,Temporary Layoffs Of Professionals Hired On A Yearly Basis May Terminate Their Employment Contracts,Employment and HR,Canada
718032,11/07/2018,B.C. Court Of Appeal Adopts A New Approach To Contractual Amendments,Employment and HR,Canada
718036,11/07/2018,B.C. To Crack Down On Hidden Ownership Of Real Estate With New Reporting Obligations,Real Estate and Construction,Canada
718048,11/07/2018,Limitation Periods In Investment Losses: Rotzang v. CIBC World Markets Inc.,Corporate/Commercial Law,Canada
718056,11/07/2018,Pre-Certification Motions In Class Actions: Are Courts Setting The Bar Too High For Early And Efficient Disposition?,"Litigation, Mediation & Arbitration",Canada
718060,11/07/2018,Significant Changes To The Act Respecting Labour Standards Now In Effect,Employment and HR,Canada
718120,11/07/2018,"Relief Is Coming! New PC Government Announces Indefinite Delay To The Smoke- Free Ontario Act, 2017",Employment and HR,Canada
718148,11/07/2018,Law Firm Loses To Ex-Lawyer Over Unpaid Vacation And Holiday Pay,Employment and HR,Canada
717838,11/07/2018,The Sensor: Are Patent Wars Coming For Autonomous Vehicles,Intellectual Property,Canada
718190,11/07/2018,Nice Classification In The Age Of Globalization,Intellectual Property,Canada
718206,11/07/2018,Quebec&#39;s Revised Act Respecting Labour Standards: New Challenges For Employers,Employment and HR,Canada
718226,11/07/2018,"OHSA Charges In Fatality Case Dismissed For Delay. Crown Did Not Have ""Concrete Plan"" To Move Case Along",Employment and HR,Canada
718260,11/07/2018,Copyright Quarterly: Issue 1,Intellectual Property,Canada
718322,11/07/2018,No Injunction For You – Recent Victory For Franchisors Seeking To Terminate Franchise Agreements,Corporate/Commercial Law,Canada
718336,11/07/2018,Be Careful How You Downsize,Employment and HR,Canada
717270,12/07/2018,Investment perks in Early Stage Innovation Companies (ESICs): Encouraging investment in your cleantech start-up,Intellectual Property,Australia
718400,12/07/2018,The end of undisclosed commissions for NSW real estate agents,Real Estate and Construction,Australia
718406,12/07/2018,NSW Government Bulletin - 11 July 2018: Part 1- Political donations,"Government, Public Sector",Australia
718410,12/07/2018,NSW Government Bulletin - 11 July 2018: Part 2,"Government, Public Sector",Australia
